INDICATOR,EMPLOYMENT STATUS,COUNTRY CODE,PERSONNEL NUMBER,EMPLOYEE FIRSTNAME,EMPLOYEE LASTNAME,EMPLOYEE FULLNAME,EMPLOYEE FULLNAME (ENGLISH),EMPLOYEE FULLNAME (LOCAL LANGUAGE),EMAIL,LAN ID,COMPANY CODE,COMPANY DESCRIPTION,COST CENTER CODE,ORG UNIT DESCRIPTION,EMPLOYEE PAYSCALE,PERONNEL AREA DESCRIPTION,PERSONNEL SUBAREA DESCRIPTION,EMPLOYEE GROUP,CONTRACT TYPE,APPOINTING COMPANY,POSITION TITLE,HIGHEST LEVEL 1,2ND HIGHEST LEVEL 1,LOWEST LEVEL 1,HIGHEST LEVEL 2,LOWEST LEVEL 2,IMMEDIATE MANAGER NAME,IMMEDIATE MANAGER ID,SECONDARY MANAGER NAME,SECONDARY MANAGER ID,LAST HIRING DATE,ORIGINAL HIRING DATE,LOCAL SERVICE DATE,CONFIRMATION DATE,TERMINATION DATE,RETIREMENT DATE,EXPECTED RETURN DATE,LAST SERVICE DATE,DATE TYPE 1,DATE TYPE 2,DATE TYPE 3,DATE TYPE 4,DATE TYPE 5,GENDER,DOB,MARITAL STATUS,NATIONALITY,HANDPHONE_OLD,PERSONAL ID,PERSONAL ID 1,PERSONAL ID 2,PERSONAL ID 3,PERSONAL ID 4,PERSONAL ID 5,ACTION DATE,EMPLOYMENT STATUS CODE,PREFERRED NAME,ORG UNIT CODE,EMPLOYEE PAYSCALE CODE,PERSONNEL AREA CODE,PERSONNEL SUBAREA CODE,EMPLOYEE GROUP CODE,COUNTRY DESC,WORK CONTRACT,WORK CONTRACT DESCRI,JOB CODE,JOB DESCRIPTION,HANDPHONE,GROUP L2 ID,COUNTRY L2 ID,RESERVED1,RESERVED2,RESERVED3,RESERVED4,RESERVED5,RESERVED6,RESERVED7,RESERVED8,RESERVED9,RESERVED10,RESERVED11,RESERVED12,RESERVED13,RESERVED14,RESERVED15,RESERVED16,RESERVED17,RESERVED18,RESERVED19,RESERVED20,RESERVED21,RESERVED22,RESERVED23,RESERVED24,RESERVED25,RESERVED26,RESERVED27,RESERVED28,RESERVED29,RESERVED30
N933X,FTB9x,Changed,Changed,Changed,Changed,6nGrx,86cri,tZzN8,16tUz,WXc7C,31xAs,z8M1m,pLoXD,a6TmM,MqQGF,H5vsx,ddQHI,Os1Fm,RLSIG,HCVMp,v5vAn,jPgBp,P6V0h,Jqx0E,3Xtr5,EdQIK,K1GPw,DiBbQ,mGWEx,KHCiP,ajXO0,XVjoR,xRj1O,pYGh3,Wb9iX,doliy,wbdms,sKfRx,bes55,YnoCG,z1Baa,KzfW1,D0N8a,WI4dk,hXhx7,bsXto,CMYts,cViI4,eOoJV,kEONt,J8CWF,QGOWJ,voGQB,hpiqP,mxJaF,SIfkQ,CZl2g,bFO94,A5pO6,pp2UU,cwADB,iZPpX,RuRP7,LKjmZ,9IojA,2Rg0s,R5WEh,HA4ny,XIY8J,cT9oT,tjhlk,POUmE,w6Z5m,nghiu,NYot0,blfxC,U2IYe,OwYO9,YDFO8,WMQ79,ztQUs,ImwPI,43kEB,6fTBX,Y2pxr,o9q4y,gBlYb,IfSzm,UpyIt,nzdc0,JCOLH,vedRe,D3Nn7,jyAZP,KANvr,jVOTK,yRWz3,KzHG0,MgCS4,y2uZf
vX9pB,0Qsz4,Changed,Changed,Changed,Changed,HmnuU,v8Mf4,uKEjE,JwTS2,apVhu,wtKcJ,v5v7D,Z8yfP,9a8iU,XlgYe,rqfRc,AiMMT,dvi9m,KP9JU,Vqxzs,eJBxd,ITGyn,pp3wh,LpTHP,EsFt1,tRrQ8,wlkuo,IbQha,nzOKU,3yFD7,WoXup,D5snp,pXUB2,hgePQ,lrmtP,gcrB4,5Vt9C,EJpfm,55Ezl,PVnGb,ivwOu,BRbJA,BEk6R,tir3M,I1hU2,G68zo,gRG4L,6wPm9,8U0yx,J3Ko7,bpIhb,x4hPu,VRgJs,0SH88,I9QTA,Wqaut,1l9ch,Qj2nj,QSVeV,YOKmG,3AVt7,XEuuu,7PiBh,YaajC,PNAkW,PvV65,rISLW,YXqPi,gYWm0,tXSou,dkDO1,Vba0a,V0DUi,wcU3k,qHTbp,qoAkA,SRd0Y,rgXwg,e9rq6,XfPVK,VcCVH,nuEK1,GOKNa,ZpUeI,ZMBSs,koGsw,cxvK4,OffW3,WAkO3,NUHYb,Y25Ky,YMn5u,wiZvW,0adAt,02KFG,8EM7b,zBFKE,RuUA6,zR9cO,mFsG9
yvDOK,sKYwt,Changed,Changed,Changed,Changed,DH5UK,4Ut1q,WIcGg,l7jJ5,jH96E,mh90N,MdLRZ,vzCu1,kcr6W,LUKBZ,1meAH,jQZUj,Plrim,KVoDh,eBRCl,6ccER,RQkt8,j553I,RFUE1,8gowh,2aXQw,dnQDv,Jbe76,FBizO,zLDyZ,l4OLo,lQKzw,7XQxz,gq1z6,iSDDb,kWkw0,NsaTz,cXwp1,kANCx,EIUjH,UgN3E,CKv7h,ASi8M,3mXLi,5fim3,GGRXb,mBeDE,CU3RN,YAYpK,zkjAX,2b4ih,OoC8M,cLDY6,nVb9g,nu1wt,TX6WI,sUA24,XuHpD,gHABK,F0HL2,wSNhK,Lx2bE,GuZfm,cMZPQ,F0iru,7bUZy,I1Szn,du4ji,Hn4is,viHyg,8k4sR,6GkDe,9maKK,KWi9k,dC72N,7Z6BS,vaJJP,zqslQ,yRYnv,Dy4Ca,3RbFT,Zjti8,dZq15,St2fD,t5dZq,fTzSl,AyOKH,l90s3,2UWxy,bJvfW,HdyrS,xBHFb,kGAzs,LZK4J,tpW2T,rVbSv,LbVmT,03v84,diBKx,BSvmV
WlBYg,vsWzP,Changed,Changed,Changed,Changed,d0Tfw,PGuht,x3exF,KRU0f,0PajH,v0KWl,gjRxR,TdCsk,g88bR,3tYKZ,YRwuq,Puwit,Rfzll,ZGjmZ,kEPsM,H9XAp,klWnm,56c3g,rDEvN,4eeLX,Ff8ng,cpKso,1HnyK,L0yKW,L1p7A,A1qYu,LPH52,pnXNr,XfH7s,zKqLF,RJ1Ir,hmOwP,c8ZKC,Q3Zq1,Tjx0u,b1dZx,91z1i,S4ApR,zV2Cl,9xliW,IxePP,30hcM,dUAej,O67j9,xXYkE,ZCqdw,Yr1R5,vWdXw,4CAXS,xVUK1,Ao0IQ,b7v2W,7j0d5,7HAt5,jCOpi,jyJ2E,cV9jB,XrLoD,IjhNC,FZQXp,tObz3,15U5u,tH8gv,Y3LX0,TaaNt,j6Hpy,JXbPt,9sCTq,5My2l,NfmOy,rcrMd,064bc,vS6T5,shadn,EkKTS,sAwOa,U4wog,GYGjo,LiptD,HMUVF,hRWo6,tVfOD,j6muv,JPJGY,eJ3Tr,1tzcj,RYvVO,J4xqU,ueARW,jkydM,Rc4QN,zHMKt,lW4uq,8Wy9r,5z5B6
vXjIY,Uks7P,Changed,Changed,Changed,Changed,sr5ni,8DCcU,Aouae,02Exo,uJxWy,nw0BQ,ZScSR,xBqGI,YcjjW,2qK40,YoU91,mF8K6,XkrRY,60gOZ,YUq0V,cNJxE,NxYY8,t3DbG,pjSAw,MNM0m,dABSB,qIdSQ,dwKWh,6LahE,AGV61,LQbV0,qsTVJ,9kAG7,txAMY,bHroy,zlhIC,fedq0,6fG6c,p6uJo,RhC74,QXLYZ,5Ei9N,G6Xgb,zLs9Q,etrAz,yuDJL,UnR6c,3zEtS,e9mBw,hAPqa,GUNZj,UCp8h,3Z3bn,fsXfO,iI0Wz,OK23T,Ptr6d,SmnhI,5nYeY,RwwdJ,HW8Pa,J1JGG,j4S5L,0yZ9Y,19rHf,uWun5,L2n7L,T13X6,zqRh0,RVW54,JClbc,VuaAg,mXm9f,wpm8j,zdDkI,Loh4i,TjAse,wSMTL,Zgcpe,M5oRB,FUAOI,c6Sep,9Dx44,Ce9vY,HSfqw,MdHmZ,RAELH,6QqrM,8MwlT,PzIBM,HqBuX,WvdHX,46PQd,mWsHU,eLO6r,wqYAG,1e6f6,D3NtL,cOFnD,c5sX3
r0ZmY,qAsX1,Changed,Changed,Changed,Changed,H1QwK,OOIIY,gtJja,nheBj,KwlFC,KKemi,JQx55,5tksV,drNvZ,QZcUO,EsBwk,ThYJq,F9jPB,5Bo0a,HLRdR,LsVaq,gc3yr,nNIDS,jUzFO,U5hsn,47shY,4zcwD,TM1KI,X4TTJ,oLF23,U2yVu,1Cc0p,QCPI4,OSoK8,T1OwH,C9lqS,0G5A8,iD6j6,wpK01,mRfeo,4OiEl,v5A18,4FHEQ,3Tk5w,YyHBw,BquIt,fVF4A,3ZbHN,XMclH,RkUlQ,KK9yT,8FjjD,GCk4V,HslLm,xFZYo,SKvJG,lszAN,OGjfz,BwR9f,S09RS,ZuUQs,cV4QW,0fcMW,PscHR,5WVGG,qZzx9,WJjCN,u9V9Q,DTFuO,19qpk,wUqvq,FuA0k,kNiCJ,XLMyI,Iw9Cx,CKfOz,77VCD,XEXYC,MKnoE,pzMWQ,V0xPB,bUUVs,hRztG,ZwN6p,CNwpf,aGisL,HOc6N,f1Zgf,FwkyI,51klt,7Uv3z,vTHmG,yIY7B,lV8xQ,B69k6,vIsC8,6SqQI,bdCeP,1c10X,5qAc3
E1Y6q,oKdxp,May-89,8K3tL,8F6vl,esOC8,N8cZ7,zAkZk,rxiDs,sr3FJ,4dllv,cXCFJ,JG58t,U8D4V,zeOIx,qzQhw,oa4dU,fJQeD,GjVfu,g5cez,gIg8l,maHhe,yCDM5,pvPGE,KaFBL,Yrkx2,Yqmbn,iVjhk,nMAtP,ea6kT,xhcr8,vTwbG,Gak7f,IxJKe,UcQ4o,WyQMh,gR6lW,K5nPX,ITiJ9,VA6ew,sOzYK,qANlf,SVyLu,5yxB7,Y9NOa,52j06,PkDOJ,6jL7T,y2kru,lr72o,SXi3a,zHbEC,rQBcb,oUjOF,nUqzI,QOeDK,YKtQf,lg1iD,rNj4C,eto3t,tEJfM,ZEUIS,X1NfT,pMSdW,BfvQw,FcK6D,zZVv2,zyoHv,gpLGX,c6WqV,gFMQ5,zscdA,OD6XV,fymkT,OMHmV,NCuCn,nCN51,eFPRA,t69HO,qNiKn,TFytD,mDeSb,0PfRt,ykeO9,cmcGi,6cpJT,isne3,tWzeu,ZozLq,Wmziq,TysL1,DhQsL,mGCAV,olg4m,m2oQQ,obtiW,8P3YK,154bg,4g5rW,nSakk,NfXFq
2goEY,yecG1,wokBl,n9Abs,mlVZb,CKlNq,wN41X,0FN31,TYbWH,tRuHn,IJeg1,nref1,NcucP,wmQMS,N9Wbz,sIroV,2QeRz,LQCVT,RoBwj,NsiOC,PqPqj,SdX4o,Ho1LD,4lY64,ypFPv,Qlqbh,20r1g,7lBOo,7D8hi,muzxS,OVOh7,4ikn8,y7jGR,bk4jC,vcFlG,7mEC5,39Isd,uJz16,MHAuj,9wwuX,7W9Jt,Nfuuo,T3mxc,W3fHy,5P29E,yfgJz,wxI4B,lQecp,W1fK4,tjOCK,ZE8HU,1Z3Ws,eoClb,4dy8h,LeFmA,HcsHH,NohcU,Ntwww,swVzV,5wP7Y,Jzf7k,T2LSD,8Uoud,Cepk9,n0l4O,u7fgn,su0mO,u7d5m,VxU7t,BEQK1,Mc8rf,vVGRS,zTNlg,8Tyb3,q4yN0,jskAt,APN6R,tYfMJ,R0s3e,N9Fnl,Z4pie,jcCT8,uA1QB,Ks3h8,L0B2a,ejXTE,IViuC,aORWB,Qis2Z,eHjBZ,3974,C1YGj,4LXdo,EN8bj,VN68U,c6OlW,XUXOZ,2BDzq,WpT8f,1XDME,aTSd4
NiEHV,6NmOW,fWqVf,ei27G,Vib9W,40qqJ,709yN,3Tt4M,urjx7,FyCr6,r9jpK,1ijJu,hBgmQ,ULtNJ,nZj7q,TTPOL,ms3E9,DNCP0,9TItW,ytqTC,fvKMl,tEBXC,BRbDW,DvgiX,kdiOK,CkJF9,GQC4j,qLrdQ,CHEmj,Xrazu,iPyFL,aa9FT,aOxbj,ZszWc,1HF80,pftBV,4T0j2,P7fu0,UJ7h4,pR2BO,SXMiN,CPFY2,ugEn8,Q5JtH,vEJZm,tIqrA,ccfZw,IXTqA,zLmQj,3.65E+04,sHjeh,FSy82,fkY42,6CXSO,ntf9e,NMEbZ,XUCna,4BVeo,52DyE,cYA40,dJElC,qfoXW,8B8MZ,wdJ3U,kTbDz,jxA9y,JIxAJ,zJVEO,X0KEz,gcNhU,bnrFX,U3uwY,idTx8,XRPU0,vR9Yc,QMnri,rGv2H,mWF9t,MScdg,TjpAE,Aqjp9,jYhUH,FonbX,Jtqrq,JLVLK,ppZGY,vohRs,xjBDI,EZ9oe,RkIdD,Xf3k5,D6pFA,wZtnb,Xl2El,PJAQE,s8OJP,m3CVN,AfIup,yXrwZ,hqSqd,rByFi
Q2HuH,gbtrK,jUmrL,Y05ZB,2MTbb,PbWmA,oI1eY,uksXB,D8CLl,xBeQt,DvGBh,u8c1n,6kpKa,zxaxm,acKg2,b7pHL,pOy3L,6Yf61,IWzxs,mGSye,PDZsy,Y1FoU,ZDQZU,44FZW,h6DWC,da43W,NZdzK,CH6rR,YROMk,STe9I,Un08M,peVTW,c8xbW,bGSw1,mOEXx,d0AXY,AMQvQ,8OKLU,JHF6V,NbGBm,YxfrP,gMccM,aTRn1,GErKm,rAAkx,YD0Mb,brFtA,odEQW,jwmSk,RE7Pc,J7erF,poxYi,2LSZe,L4JOp,Zc8Ce,2VVsE,PKdT3,mYyKH,67GwF,XeGGT,X1RjI,dl4xC,50ICY,FfJxj,sT4KB,TeyxN,Nmuvn,j1s4y,sxJBK,dusi2,972ZE,GuQo2,WjLSO,ZRP0f,fi1Uq,mOhKX,X7Wsp,QW89x,T45YM,Ys8OL,YhS7O,ccecz,6XH4w,xxFkg,VOSDP,Ppq8J,lmixh,MDmdN,5GMDi,7aRVY,tCx23,QxGKm,DmosT,KP30L,2.15E+11,lq8WK,r3CcY,eRwC0,LjmaY,mIDYb,lOq9f
OsBMG,kZyk8,nfoma,EwQLt,kHqG4,ZG5Hk,AaP8c,l8kD6,G8uIo,UtfMz,fXPpg,eF8EO,bbqYl,MA0mT,zAqd5,3cIrx,VeWPe,rDUi9,m76W6,vWx1e,NzwBG,EYia3,uGRhI,UNlBT,rYZBV,VsfJU,lfcbz,fvN5K,mMiLy,lf8ne,A81h7,QYMM1,2oz7N,vtKcV,gA8qE,YHe9j,Xo3oq,e35oi,IjFm9,50jyn,k9b5p,l3BGR,QcFyn,ZswXe,7FleN,pTSWm,jNHDa,20ICw,SLkvE,SLZ7H,Ze29w,bBf4n,TyjX5,meQ9q,WyOgE,8gcsc,WntXI,CUIZj,XZkK7,Bx147,2YDlH,fVFtf,r4976,gTT71,Pw8ni,rOmD3,wrBfA,Ulupb,V4qbO,jPt8K,qKwUu,iuRJe,iafeD,ccy4v,vTOu8,GY68r,1Jr6d,MzGKR,QTx3o,Fe8mK,fWnoc,AEndH,IOIWf,AJ1NW,1xqqn,h2hqv,0VSWu,eXyd7,Z8mmv,4.40E+53,P8ydF,rSdld,7Qpbg,yryPl,hzp48,UqSXP,HzgTN,MBnj6,ayl3M,8iIOt,3HSqU
XDfjI,yLIZF,yM2r5,kr2i0,d65Zi,XEXim,z5FSV,bJxnq,QUM1N,v23sI,bQ9l3,kBFUN,O2U68,LEV5M,whuCb,wNlAZ,qd3ia,tokUM,xptxw,01tBW,dJJsy,Tdkre,vXSmq,Uojjj,2HiAy,fUBxn,pMdyk,k4iK2,xjNby,dFgBl,JCYxv,tmyJ9,jvdTS,rOQ4O,sTGRp,1wcCZ,GHnCF,IUTHP,V7aog,W2x3X,4ncE8,A2tVq,l0Lza,pngbX,xs3R3,CfmKd,T4gBq,lW49H,21R6v,uoWXd,BQSMW,FTuPy,nw4qg,9WFYt,0yjR0,iuEaO,U9QSj,9u28c,s7QiC,a7nKU,guIKD,r4Zwk,CqPxc,iuYsW,pL4pw,ieJUd,LTdyF,xlVXu,efmUY,4rSXt,2ksd3,R4ztT,lKThS,6136,kFMWO,pvceG,WpLrz,7DFlY,cBeuk,6nee7,9gjGq,E8w3w,6syFF,Cf9cE,sGe23,KOcCF,qfxG5,MtJee,6ab6a,ftd42,ZVCJ1,SUSEl,xdBTt,VhBA7,OOkD9,QsiE2,y2IJs,eATts,OpN9Y,PkFYN,iEOBO
ie1vN,x5qRs,K5YKw,6LXXm,ePajn,poYBR,D1yCc,MLXMn,6y8eg,ddjfj,2wzHw,Pg8PW,ZSfWY,Axcnp,64PoW,tDX53,VD7jJ,Vw4nL,j217i,2Mfxg,NxeJX,207f9,VTUJX,HSjs0,spdjM,iI1UE,jOB1z,QXFkz,MNfTM,4kXgY,iOXp9,Ur3cj,C3Dxm,Q2bDF,iK7Yv,nIL31,2.31E+08,wJs5C,yVLpw,Iinh4,RLqvr,Ogri4,fVonA,YWile,pI6cR,h3vdl,k1jgl,YgmFR,p8iU7,8AlsJ,MPV8g,YJu56,gOa0w,HkRtz,yiThT,PQAko,1k8rW,g2wrh,cVZXq,a6TQS,lXFkP,qSPdk,TmepG,vJUHv,u2Mb6,6aN6y,2vZmo,fUtcG,Urqdp,DxOao,EFUtx,7IjJn,HcsK7,YVuL0,dl3Gw,IrMrK,M7j2G,RBqqY,qAI1M,xmZQP,ISpNl,GgCSb,rN4Pr,RynKa,Im7x8,mKxEp,piWcP,bO1gJ,GcYsp,BWT3j,1SIxw,WK3nK,YAeFB,4mcJx,xKlEe,jisCu,EJuOu,Opcmi,GOKc7,S3LJK,Kq5UL
aeSFA,diQUO,dwAil,JjRY9,ZQjFr,nxaYI,P9xT0,nibfp,VryZm,kFRUj,KBwIi,xE34Z,xp0cc,RLucI,HO6TD,yQv7V,zf9W5,meavL,R63Ap,aOOng,IPSRx,5GPX1,82EUp,zLrHG,LGWKX,KYbWB,cpBMh,JTw93,F6eUo,u8Le3,M2YFf,x03RH,UGWKC,0pIek,GQT4U,kpNV4,RfhLg,G578x,bTPIr,3rsLh,cSHVl,CYe9v,r3d8R,DQWpD,9Gr0p,qwrlK,M9g0H,ZBqyQ,yv3m8,nRg58,a9e61,VHZP9,aDblD,4niOL,gN9GL,iM9vk,hXFJw,hCEoI,sEoKD,Ds6aU,HoW8c,vC1ll,D9Rz7,zOfio,aca2S,qQkDp,murcv,Ggj9a,o3zY0,XaQFh,JOWTH,PilX6,HxnGQ,GBxGJ,AyzFP,2xq8c,f3kgJ,TRrXA,9RVoP,Q8JOG,1CCRx,cHfO0,0iAdo,99u6k,KlTiS,IMaiW,ltgU3,aaKG1,Qvf7d,x98m2,ZnDDe,tDlnT,XzEor,FpQlS,AMrKs,OIpQr,Ebg8x,qFSEL,8.10E+92,e90Ue,WQTyf
Y1wyp,0l4Vo,L6Cwv,T6j8M,Y3UfF,ilf8T,o2fbs,VwYvq,q0OLi,a7563,z4Oi3,sKVBL,oHhMk,SBmtE,l6OfK,63F2y,DCJ5j,NL3ho,VBABY,1Bt3U,1HAQR,M1Wxe,P4XHg,mYQb1,4Fstt,0myPG,j3HRB,KK0o9,hcZZt,r4GwY,sOG01,6Amwf,M2JrR,1rJEo,f3NaC,Wn3et,G70ZG,fhW2Z,upIDM,b39PF,E3s2H,4AeE7,c2NVm,Ed8DB,rabl9,May-73,SViWG,KBk6R,wuTdY,M8z4p,3vfoc,3KMik,zRXVb,pyCvX,TQXlk,wfDe1,1W5xd,uAAYp,MHe8c,6FDiQ,E7T3x,fRcWG,JkycN,1lgfL,UKWCB,h3DxO,JybG8,tDyaA,8vl1m,3bs76,7ss9w,8P8el,cqIwo,AKVOs,YuukH,GDAaB,dkOuN,7erz5,5mFs7,BX4OS,W4bTO,dAtPS,fbVCJ,LtPoi,WnHtz,b1UV3,4qspM,cmpSH,isw1r,rVPuz,0TmUC,Ta1kC,tHsfp,EIL86,EnZ5Q,crfzC,HuOpa,0E2UN,jGsAK,3aSko,ueplY
SIROw,1Yghh,O4yD2,w3jUs,wrJ5W,1Ucp2,G28Pu,wERWF,eQfq2,NCOWZ,yvqfz,VZqPZ,kKZ79,npeeI,hGd5S,CR4kf,gHTE2,4D2qF,DvJun,mfUHm,jIjaG,LYOD2,Bspie,mAlRZ,XHrkQ,D2EeD,cAkvU,88A70,UVe82,Dc0iu,D7YiY,4.82E+07,NJeCi,ElU2S,tWdly,D1Et0,s4PqL,haKJ2,bQk3J,xjwMu,3RhQ1,yshGL,D9dLu,885H6,hWdAH,18HqA,AzLak,WUB5P,GW1S0,bIDdd,cdU2e,a7myD,tuebG,LQtSw,nr74f,R8jQC,9sONj,7Fub7,spGkH,HBEiU,jVvkn,VzZQy,JxUMh,PYybu,63kT4,YqMId,UyTWb,uwY0O,8cX1z,HklQO,jpKeT,mMYlm,FFXjX,1ngnU,owt27,3tTna,kj74L,PgfnF,Os5d4,qqB8P,ulgfr,pPrDp,bWUnU,ZKWrl,4Uwsf,P6hDf,hQ5wi,nVanF,3lWvB,WprAT,6SfzW,FwbDc,ktSCj,djvTL,Kcjoq,MGh0t,qLSM2,Bb2YH,NEIwT,FprRR,58FmM
vkGRW,9Nl7x,Jcq9i,YjOMN,6U2zi,iQtb1,FxJ6z,zaAHJ,hRAK6,tmp0F,jfLWj,wy6r1,PCzeM,PSKIE,Qtq55,40PIZ,o5dhG,r72De,DqtOW,K2azP,85ozZ,Rz2hE,U7LX7,c9Lw8,R5KiY,6HV2c,ceJKz,YrqBw,hrz5H,gYNkA,44PNV,rvlds,7.70E+88,mzIQi,piCOM,dLzNg,lJeEn,QUssL,fGnxF,Y3SfY,Ri080,u9Kur,idn8T,hE0e0,qC4Fh,oSNkO,h0jai,ihRem,VVGSo,3S8oi,SGrHV,sWgkS,qYZeG,ZNj82,fKvfl,gX8JA,ilv5q,hJLOA,1INMd,txY4c,7haQ4,NNCXK,G2Ppy,lCfl0,h9jat,iod5u,OUA03,OvljP,RTOXe,2Kc4u,1mhgf,u4PwM,FvKAX,yCzq3,lIiVO,jLcIK,V6k8c,EGr9v,F9AFq,plQYg,On2aQ,eG9Ho,EHa18,XiDik,vxgUg,PaFxO,h2ST7,8Wdyo,JwqSk,nN2kC,8zJzu,hO5xd,BcvmY,L9NHm,EhEsm,XmBxH,Ajuwg,xSa1G,uvCYw,3Tmzg,lXJQD
btxed,LIIFO,EI2Zn,JkwAV,64fvH,0r4on,PiXue,RdhyF,sBMHK,X0lfe,p10jt,ZEbGF,hawTY,SLtvb,oXb37,2IP0H,9N62g,R6CCJ,bqZoU,FDRJn,cwCpp,V2jMI,ykzUT,3Ozqt,H8UdK,oXezr,3MpYb,VVMPY,c0yNr,f6EPE,LRivt,GMcyB,m3B7z,JH7wx,f6XmN,RMEF9,4W9NN,oJi7p,Q7K9B,szuOD,xtV4u,EpKu6,eMH2Y,ZNKsu,9jlwJ,cIewO,2vbs8,vjxmi,J4SP5,lrVfu,8kgQa,G75q0,NTf0A,jA6On,AwLFp,3XFXk,2mu21,EI2fB,feQMZ,5XsM2,urt8g,9z2oG,4OyF8,7H9Ie,mo6zO,DCjrC,lGDkM,the8O,KvnEQ,HnrZh,aLkpX,Bshnn,UzYJR,Jddg4,HMi17,v9LRo,rJBkS,WZWtk,RXfuX,8Q84R,BWz8i,I7kRa,Xg4Nl,zwjVt,WpXYH,jSrYD,lpqDN,jidQ0,kGdUm,OEUR6,O7dgf,EvT6Y,6.60E+72,1Q84u,VB4NE,bJJKN,SPIoc,SvHcZ,5R7XW,EonFT,pw7B7
iaeKU,pqYHs,zB4CY,EGKRR,cvmup,y7giO,lnPda,SLzmv,h3au9,L5cXE,l1p7J,mGKvJ,Lqvwi,pOeYR,U0JDH,3lQPF,wgZii,9or6Z,ENF6J,iTMIo,WHyQ2,Wbz09,K9Tk6,KiHwq,kPxbZ,3QUId,KswEC,xOyfs,GKn9N,pQpCz,xxEhL,yRzAl,m6xFj,Gyq71,IL33r,i7lcP,UX8Zx,gWnCP,3yoET,JFiD7,Xfy45,FIJcQ,vccNx,aYOyh,21-Sep,s7iZ7,fpWmj,KApRQ,gwPRr,QRbz2,llwbr,YjHzV,9fDAa,RAabZ,8URDv,wxddh,URQzy,nA2xU,nbCqu,rGv4J,IeSFj,BVDvY,BYVC7,WwECu,2ItVB,zYmz6,re28Q,jHI2m,TZv1M,wigdI,6vAWs,3xDCn,nrgj2,k1jKr,Jr2HI,sr3UE,IFujK,j8Fys,nKd3b,Am59n,8eV9l,E6EE3,E3jTI,M7InZ,9ilu0,SeapG,g7vYn,Eknhw,4JQst,3I9d8,D9I3b,eKln9,384Sx,W62IJ,fE8sL,cMOUS,FgViY,VYFmE,MrGtk,ppnk8,m6VjD
K91qx,BzQE5,D0HaL,3m7AD,xZkAF,PXiFJ,e1x5L,QwIsc,adBBD,EMTnp,N5fCN,R9JNe,H2n3w,uwnEV,vPCCK,s2nE9,u8T1Z,Z09wR,feTfW,WFHh0,ryYYx,zQGNs,Nmddz,FSdWe,bBuod,p2DMb,BHIza,6.00E+285,lXL24,BNhnK,oH6j3,t34qD,jNDlX,qZvuu,jBbUE,Kc9f8,UUBuq,Yk3OK,NaYoM,0Uh07,FRK9V,sh1LW,CmQDk,5AUNa,9qweH,RhvET,0qZKk,CTkx1,kyRQv,DQCOs,VFz1T,pR9KH,Qm0eo,BqDeQ,CjYS9,oSO8W,Ml7Gh,qYZX2,ZONFt,vfSLF,zk1YR,XjLkx,kRzNQ,obur4,Dod5k,n9o4D,eV4Wk,URPmk,rUmnj,IzErx,gooMt,2CVPn,TOqCZ,yYbzk,osCdC,jblXa,dFYKm,xgVvz,qrCBO,GA97f,ovDOs,iXZHj,CTuZ0,OoM0h,AFl0w,A32dy,G1V4t,vGXrA,cj9g1,Fs4OA,1XcUk,fI288,4xdDC,zI0SJ,hbOMo,yBkhr,SozPe,BkBB5,tqpt5,WIUKC,SbCqr
tiLgj,jbija,8OvtW,u21gL,lQBU4,kfrmQ,8WbuI,AiMLV,otE2X,1gkZW,VOPMk,ny4WK,7sguJ,1B9p2,1AIAq,R9LCV,IeZHN,GE5dO,6qinE,Kd0lW,msyZM,A3nSK,txD0x,dgQJG,U48mj,k4rj8,GOmDp,kYOjC,zCJIs,x2nWs,EXf4k,OCCvF,hca0A,TCLXm,uZRob,jLtXE,wS5Xl,jMwJA,ThWNn,HC2MV,DohqP,27-Oct,ZbJQU,KnMzn,OZT8q,KeiGF,sN6XY,vriy4,YUxT3,vc4KM,UgfOk,V4H1h,keCfS,Lpz2i,jybQJ,ruQoK,05nN2,p1dUh,HJ1dX,uMHR1,J4U5F,uRJhz,qGgWZ,GINW7,rDZ7D,MZLKy,8Y7t5,1xrQ8,O6vvF,KIb37,ub8JV,7ahJd,vmtUV,Sz1XJ,ii1Y7,vp7ju,NAzVU,e9gom,NYWy9,W8Okn,TPG6E,u8JwD,UooOZ,VxtWt,2dgT8,HvYj7,IkLbi,K3XXT,JKgkB,CLpmQ,BTGRO,onghG,F0Tge,y1Tjz,JMI1n,Bs0nc,08pr4,aqF0w,gVYl2,EfGP5,I0xd5
